,id,name,screen_name,description,statuses_count,friends_count,followers_count,account_age_days,avg_daily_tweets,hashtags,user_mentions,favorite_count,retweet_count
0,1181832897508065280,Eswatini Government,EswatiniGovern1,This is the official twitter account of the Government of the Kingdom of Eswatini.,1672,82,11284,282,5,78,13,5600,1655
0,2189970192,Malawi Government,MalawiGovt,#Malawi Government Twitter Feed | https://t.co/JTVuLfxeIV…,4030,26,39182,2439,1,85,49,8404,4503
0,2515899612,Hage G. Geingob,hagegeingob,President of the Republic of Namibia,1085,55,192187,2247,0,3,1,13081,1641
0,1239872615248015361,Seychelles Ministry of Finance,FinanceSC,"Ministry of Finance, Trade, Investment and Economic Planning, Seychelles. ""We promote good governance and accountability""",124,224,126,122,1,0,0,10,1
0,40839292,Presidency | South Africa 🇿🇦,PresidencyZA,This is the official Twitter page of The Presidency of the Republic of South Africa,18848,14,1597660,4078,4,73,123,25153,11990
0,1200316338,Ministry of Health Zambia,mohzambia,The Ministry aims to address and share ideas with the public on various topics in the health field and related services,837,95,7135,2704,0,6,2,121,104
0,447895686,President of Zimbabwe,edmnangagwa,"Official Twitter account of Emmerson Dambudzo Mnangagwa, President of the Republic of Zimbabwe 🇿🇼",628,116,545576,3125,0,1,3,25331,6096
0,894266976499060736,MinSantédj,MinSantedj,"ORGANISME GOUVERNEMENTAL
Suivez toutes les actualités du ministère de la santé Djibouti",1064,127,2922,1075,0,7,16,226,254
0,438370063,Yemane G. Meskel,hawelti,Minister of Information,4710,434,66000,3136,1,39,8,9938,4133
0,364830542,State House Kenya,StateHouseKenya,,9044,214,1102672,3244,2,8,9,24040,5952
0,37601149,Paul Kagame,PaulKagame,"President of the Republic of Rwanda, write to: paulkagame@gov.rw",2861,181,1981754,4092,0,0,2,22794,5116
0,812627249446780928,Mohamed Farmaajo,M_Farmaajo,9th and the current President of Federal Republic of Somalia H.E Mohamed Abdullahi Mohamed Farmaajo.,599,2,423222,1301,0,1,4,17356,3120
0,868153335307698177,South Sudan Government,SouthSudanGov,"Official Twitter Account of the Revitalized Transitional Government of National Unity (R-TGoNU). ""Justice. Liberty. Prosperity"". Celebrate #SSat9",209,463,2539,1147,0,10,13,197,97
0,1164801318742982656,Abdalla Hamdok,SudanPMHamdok,The official account of the Prime Minister of Sudan Abdalla Hamdok.,652,115,369867,329,1,1,7,102936,17078
0,976523578966466561,TanzaniaSpokesperson,TZSpokesperson,Official English Account of the Chief Spokesperson of the Government of the United Rep. of Tanzania. Direct tweets by the Spokesperson will be marked: Dr. H.A.,836,32,4013,848,0,0,7,720,9486
